photoID,attribution
4997b,Belle Sprague
4994b,Jacobucci
4991c,Joan Baker
4991b,Cheryl Stevens
4989c,June Fallaw
4989b,Jim Boyer
497b,Phyllis King
4975c,Iris Keating
4975b,Northern CA Council
4972b,Thomas Clark
4968c,Carol Vaughn
4968b,Byron Borck
495c,Janice Norton
495b,David Dick
4959c,Iris Keating
4959b,AVSA
4954b,Hortense Pittman
4950b,Joyce Myers
494c,Sady Garcia
494b,Winston J Goretsky
4948c,Marjorie Bullard
4948b,Joan Baker
4946b,AVS Denver Chapter I
4945c,Ruth Coulson
4945b,Marjorie Bullard
4943b,Iris Keating
4942b,Hector Wong
493c,Joan Thompson
493b,Donna Slaga
4939b,Sandra Reeves
4938b,Shantel Garcia
4934b,JoAnn Marti
4933b,Park Nurseries
4931c,Janice Ward
4931b,Belinda Thibodeaux
4930b,AVSA
4928c,Christel Collier
4928b,Bob Lombard
4925b,Linda Rowe
4919c,Joan Baker
4919b,Hattie Baggett
4918b,Phyllis King
4914b,AVS Denver Chapter I
4912b,Belle Sprague
490b,Northern CA Council
4903c,Janet Stromborg
4903b,Barbara Werness
4901c,Debbie Yeager
4901b,Fay Wagman
4900b,Northern CA Council
48c,Linda Rowe
48b,AVSA
489c,Deb Nitz
489b,Janice Norton
4899c,Deb Nitz
4899b,Linda Rowe
4893c,Cindy Schott
4893b,Fay Wagman
4892c,Northern CA Council
4892b,Joan Baker
4890c,David Dick
4890b,Christel Collier
488c,Bob Lombard
488b,Marjorie Bullard
4886b,Sandra Reeves
4884b,AVSA
4882b,Burton
487c,Jerry Click
487b,Joan Thompson
4877b,Iris Keating
4867b,Anatoly Skryabin
485c,Joan Baker
485b,Vickie Crider
4854b,Marjorie Bullard
4853b,Helen Williams
4851b,Linda Rowe
484c,Joan Baker
484b,Sady Garcia
4838c,Adrienne Harkavy
4838b,Viv Kay
4837c,Janet Stromborg
4837b,Judith Kinsel
4836c,Claudia Brelo
4836b,Anna Lebedeva
4834b,Sam Irvin
4833b,Linda Nesvacil
4831c,Stanley Ko
4831b,Linda Rowe
4830c,Barbara Elkin
4830b,AVSA
482c,Donna Slaga
482b,Pat Addison
4822b,House of Violets
481b,Phyllis King
4818b,Jeri Anderson
4817b,MiChelle Foster
4813b,Sady Garcia
4811c,Northern CA Council
4811b,Terry Studer
480b,Tammy Young
4809c,Violet Foo Wan Yee
4809b,Joan Baker
4806b,Robin J. Rayburn
4802b,Tea Gallela
4800b,Anatoly Skryabin
4794c,Gary/Rhona Thurman
4794b,Cheryl Stevens
4793b,AVSA
4786c,Marie Flotterud
4786b,Karen Panek
4785b,Janet Stromborg
4783c,Shantel Garcia
4783b,Aleksandrowicz
4781c,Robert Albro
4781b,Pat Addison
4780c,Cynthia Hui
4780b,Bob Lombard
477c,Anatoly Skryabin
477b,Claudia Brelo
4779b,Aleksandrowicz
4778c,June Fallaw
4778b,AVSA
4776b,Hiroko Endo
4774b,Northern CA Council
4771b,Aleksandrowicz
4770c,June Fallaw
4770b,Aleksandrowicz
476c,Phyllis King
476b,Daisha East
4768b,Hattie Baggett
4763b,June Fallaw
4762c,Iris Keating
4762b,Bluebird Greenhouse
475b,Phyllis King
4754c,Joan Baker
4754b,EvaBritta Thorssell
4753b,Aleksandrowicz
474c,Marjorie Bullard
474b,Viv Kay
4749c,Kay Mitchell
4749b,Roni Williams
4746b,Frank Burton
4743b,Steve Coon
4742c,Michaelene Johnson
4742b,Aleksey Kolodezhny
4739b,Iris Keating
4738b,Frank Aleksandrowicz
4737b,Frank Burton
4735b,Janet Stromborg
4734c,Kay Mitchell
4734b,Belinda Thibodeaux
4732c,Shantel Garcia
4732b,Janet Stromborg
4730c,Karen Low
4730b,Marie Flotterud
4727c,Anatoly Skryabin
4727b,Janet Stromborg
4722c,Vicky VanPatten
4722b,Mary Welch
4720c,Marian Moss
4720b,Janet Stromborg
471c,Bluebird Greenhouse
471b,Phyllis King
4718c,Marjorie Bullard
4718b,AVSA
4716c,June Fallaw
4716b,Foote
4713c,David Dick
4713b,Hattie Baggett
4710c,Toni Weidman
4710b,Christel Collier
470c,Neil Lipson
470b,Rachel^s Reflections
4709b,June Fallaw
4703b,Iris Keating
4700b,Christel Collier
469b,Jack^s Violets
4699c,Christel Collier
4699b,Iris Keating
4696b,June Fallaw
4691b,AVSA
468b,Cindy Heitkamp
4689c,Lynda Berggren
4689b,Gennady Komkov
4688c,Karen Panek
4688b,Anatoly Skryabin
4685b,AVS of Queensland
4684b,Northern CA Council
4681b,Janet Stromborg
467c,EvaBritta Thorssell
467b,Joan Baker
4673c,Christel Collier
4673b,Violet Gallery
4670b,Jeri Anderson
466b,Anatoly Skryabin
4664b,AVSA
4661b,Schroeder
465b,Joan Baker
4652c,AVSA
4652b,Marie Flotterud
464c,Tea Gallela
464b,AVSA
4642c,Iris Keating
4642b,Bob Lombard
4636c,Fay Wagman
4636b,Karen Low
4635c,Karen Low
4635b,Viv Kay
4634c,Karen Low
4634b,Claudia Brelo
4632c,Claudia Brelo
4632b,Marjorie Bullard
4631c,Linda Bridges
4631b,Jana Bohunkov�
4630c,Barbara Elkin
4630b,Sandy Weynand
4629c,Shantel Garcia
4629b,Carol Vaughn
4627b,Anneli Hvass
4623c,Deb Nitz
4623b,Anatoly Skryabin
4621b,Tea Gallela
4620c,Janice Norton
4620b,Marjorie Bullard
4618c,Ann-Marie Keene
4618b,Violet Gallery
4616b,Hortense Pittman
4610c,Janet Stromborg
4610b,Phyllis King
460c,Anatoly Skryabin
460b,Linda Rowe
4607b,AVSA
4606b,Baker
45b,M Reavis Violet Reflections
459c,Christel Collier
459b,Daisha East
4592b,Rebekah Sprouse
458c,Hector Wong
458b,Marie Flotterud
4588c,Marjorie Bullard
4588b,Janet Stromborg
4587c,Anatoly Skryabin
4587b,Drew^s Violets
4586b,Lynn Canning
4583c,AVSA
4583b,Fran Traylor
4580c,Anatoly Skryabin
4580b,Barb Werness
457c,Iris Keating
457b,Duane Champion
4579c,Claudia Brelo
4579b,AVSA
4578c,Hattie Baggett
4578b,Janet Riemer
4575b,Marjorie Bullard
4574b,Pam/Keith Kennedy
4572c,Sady Garcia
4572b,David Dick
456b,Hortense Pittman
4562c,Anatoly Skryabin
4562b,Sady Garcia
4557b,AVSA
4556b,Janice Norton
4552b,Kerstin Nordfors
4551b,AVSA
4549c,Michaelene Johnson
4549b,Linda Rowe
4542c,Linda Rowe
4542b,Carol Vaughn
4541c,Olga Surnova
4541b,Sergey Sarychev
453b,Frank Burton
4531c,Anatoly Skryabin
4531b,Nancy Braun
4522c,Tea Gallela
4522b,Winston J Goretsky
451b,Nancy Robitaille
4516b,Barbara Elkin
4514c,Drew^s Violets
4514b,Christel Collier
4513b,Pat Addison
4511c,Donna Moses
4511b,AVSA
4508b,Linda Rowe
4507b,Viv Kay
4506b,Hortense Pittman
4503b,Mary Mostafa
4502c,Wayne Discher
4502b,Madeleine Gagnon
449b,Tea Gallela
4496c,Hattie Baggett
4496b,Vickie Crider
4493c,Janet Stromborg
4493b,Cheryl Stevens
4492b,Dr. Jeff Smith
4490b,Fred C Hill
4489c,Linda Rowe
4489b,David Dick
4482c,Anatoly Skryabin
4482b,Janet Stromborg
4481c,Aneta Bernadzik
4481b,Dr. Jeff Smith
4480b,Michoya Akuzawa
4474b,Tea Gallela
4472c,Linda Rowe
4472b,Madeleine Gagnon
4471b,Tea Gallela
4470b,Irene Fredette
4469c,Anatoly Skryabin
4469b,Hiroko Endo
4466c,Winston J Goretsky
4466b,EvaBritta Thorssell
4465b,Joan Messer
4461c,Francine Pilon
4461b,Francine Pilon
4446c,Marjorie Bullard
4446b,Carol Vaughn
443b,Henry Volkmann
4426b,Northern CA Council
4424c,EA Johnson
4424b,Pat Addison
4422c,Rod Lowe
4422b,Karen Low
4420c,Violets4You
4420b,Reed^s Greenhouse
441b,Frank Tinari
4416b,Phyllis King
4412b,Bob Clark
4411b,AVSA
440b,Frank Tinari
4408b,Fay Wagman
4406c,Bob Lombard
4406b,Marjorie Bullard
4405b,AVSA
4404b,Anatoly Skryabin
4403c,Anatoly Skryabin
4403b,AVSA
4402b,Janice Norton
4401b,Burton
43b,Fay Wagman
439b,Hortense Pittman
4398b,Ann-Marie Keene
4397b,Bill Daniels
4387b,Janet Riemer
4383b,Iris Keating
436b,Barbara Elkin
4358b,Monica Litman
4355c,Linda Rowe
4355b,Karen Low
434b,Barbara Elkin
4335b,Jana in Indiana
4332c,Nancy Robitaille
4332b,Winston J Goretsky
4328c,Sady Garcia
4328b,Gary/Rhona Thurman
4327c,Belinda Thibodeaux
4327b,Jeanette Haygood
4326c,Belinda Thibodeaux
4326b,Marjorie Bullard
4325b,EA Johnson
4322c,Joan Baker
4322b,Terry Studer
4315b,George Gay
4313b,Janice Norton
4312c,Janet Stromborg
4312b,Claudia Brelo
430c,Marjorie Bullard
430b,Barb Werness
4307c,Tea Gallela
4307b,Anatoly Skryabin
4300b,Belinda Thibodeaux
429b,Northern CA Council
4298c,Janice Norton
4298b,Hortense Pittman
4297c,Hiroko Endo
4297b,Hiroko Endo
4291c,EA Johnson
4291b,Rachel^s Reflections
428c,Nancy Robitaille
428b,Elenetta Marshall
4285b,Amy Allison
4284b,Northern CA Council
4283c,Anatoly Skryabin
4283b,Bill Daniels
4280c,Tammy Turner
4280b,Donna Slaga
4278c,Pat Addison
4278b,Cindy Schott
4258b,Sandy Weynand
4254b,Hortense Pittman
4247c,Tea Gallela
4247b,Barb Werness
4242b,Fred C Hill
4238b,Phyllis King
4233b,Tatiana Pirogova
4231c,Joan Thompson
4231b,Marjorie Bullard
4229c,Tea Gallela
4229b,Linda Rowe
4224c,Tatiana Omelchenko
4224b,Karen Panek
421c,Donna Turner
421b,Jeannie Myers
4216c,EvaBritta Thorssell
4216b,Irene Fredette
4215c,Aleksey Kolodezhny
4215b,Anatoly Skryabin
4214b,Iris Keating
4213c,Vickie Crider
4213b,EA Johnson
4212c,Christel Collier
4212b,Svetlana Sedinina
4210c,EvaBritta Thorssell
4210b,Irene Fredette
4208b,Iris Keating
4207b,Hattie Baggett
4206b,Irene Fredette
4204b,Sandy Weynand
4203b,Gennady Komkov
4202b,AVSA
4201b,AVSA
41c,Linda Rowe
41b,Fay Wagman
419c,Lynda Berggren
419b,Deb Nitz
4196c,Tea Gallela
4196b,Jess Harman
4188b,Annalee Violetry
4187b,AVSA
4185c,Linda Rowe
4185b,Anatoly Skryabin
4183c,Christel Collier
4183b,Sady Garcia
417b,Ann-Marie Keene
4178b,Iris Keating
4175c,Linda Rowe
4175b,Linda Rowe
4170c,Marjorie Bullard
4170b,Tatiana Omelchenko
4166c,Marjorie Bullard
4166b,Carol Vaughn
4159b,Barbara Elkin
4152b,Hortense Pittman
4145b,Carl Domiano
4141b,Fred C Hill
4140c,Iris Keating
4140b,Northern CA Council
4134b,Iris Keating
4133b,Iris Keating
4116b,House of Violets
4114c,M. Gandolfo
4114b,Winston J Goretsky
4111b,Sady Garcia
4109b,Monika Papezov�
4102b,Gennady Komkov
4100c,Barb Werness
4100b,Christel Collier
4094b,AVSA
4090b,AVSA
4074c,Susan Terrell
4074b,EvaBritta Thorssell
4073b,AVSA
4071c,Lynda Berggren
4071b,Kay Mitchell
4067b,Bluebird Greenhouse
4066b,AVSA
4064b,Gary/Rhona Thurman
4063c,Christel Collier
4063b,Tea Gallela
4057c,Northern CA Council
4057b,Janet Riemer
4056b,Anatoly Skryabin
4050c,Christel Collier
4050b,Joan Baker
4048c,Janet Stromborg
4048b,Tea Gallela
4044c,Nancy Robitaille
4044b,Nancy Robitaille
4030c,Diane Best
4030b,Tatiana Omelchenko
402c,Joan Baker
402b,Kerstin Nordfors
4023c,Tammy Turner
4023b,Vickie Crider
4019c,Northern CA Council
4019b,Jim Boyer
4018b,Marjorie Bullard
4015b,Hortense Pittman
4013c,AVSA
4013b,Bluebird Greenhouse
4012c,Olga Surnova
4012b,Anatoly Skryabin
400c,Kay Darrow
400b,Stanley Ko
4009b,AVSA
4008c,Neil Lipson
4008b,Marjorie Bullard
4005c,Hattie Baggett
4005b,Wayne Discher
4004c,Hiroko Endo
4004b,Joan Baker
4002b,Fred C Hill
3999c,Janet Stromborg
3999b,Paul Sorano
3984c,Joan Baker
3984b,Shantel Garcia
3980c,Belinda Thibodeaux
3980b,Belinda Thibodeaux
3979c,Donna Slaga
3979b,Kay Mitchell
3972b,Lynn A. Bryant
3971c,Janet Stromborg
3971b,EvaBritta Thorssell
3969b,Iris Keating
3963c,Joan Baker
3963b,Violet Gallery
3961c,Lenny Winter
3961b,Anatoly Skryabin
3956b,Mrs. John Stout
3953c,Joan Baker
3953b,Anatoly Skryabin
3952b,Iris Keating
394b,AVS of Queensland
3949c,Karen Low
3949b,Cindy Schott
3945c,Janet Stromborg
3945b,Irwin Wagman
3944b,Tea Gallela
3943c,Sue Dompkowski
3943b,Bob Lombard
3942c,Belinda Thibodeaux
3942b,Cindy Schott
3940c,June Fallaw
3940b,Northern CA Council
3924b,Janet Stromborg
3923c,Tatiana Omelchenko
3923b,Linda Rowe
3921b,Iris Keating
3920c,Wayne Discher
3920b,Bluebird Greenhouse
3919b,AVSA
3915c,Wayne Discher
3915b,EH Peck III
3911b,Linda Rowe
3910b,Paul Sorano
3909b,Janet Stromborg
3908c,AVSA
3908b,Janet Stromborg
3902c,Belinda Thibodeaux
3902b,Carlynn Scott
3900b,Viv Kay
3897c,Northern CA Council
3897b,Violet Showcase
3894c,Tina Moreno
3894b,Bluebird Greenhouse
3892c,AVSA
3892b,Byron Borck
3891b,Janet Stromborg
3889b,AVS of Queensland
3888b,AVSA
3887b,Marie Flotterud
3885c,Hattie Baggett
3885b,Janet Stromborg
3883c,Anatoly Skryabin
3883b,Steve Covolo
3882b,June Fallaw
387b,Iris Keating
3879b,Cape Cod Violetry
3877b,AVSA
3873c,Barb Werness
3873b,Jeanette Haygood
3869c,June Fallaw
3869b,Sandy Weynand
3867c,Fran Traylor
3867b,Janice Norton
3862c,EvaBritta Thorssell
3862b,Janet Stromborg
3860c,Tea Gallela
3860b,Winston J Goretsky
385c,Hortense Pittman
385b,Anatoly Skryabin
3856c,Marjorie Bullard
3856b,Violet Gallery
3855c,Jim Boyer
3855b,Fred C Hill
3853c,Vicky VanPatten
3853b,Belinda Thibodeaux
3850b,JoAnn Marti
384c,Marjorie Bullard
384b,Fred C Hill
3849b,AVSA
3845b,AVSA
3844c,Tatiana Omelchenko
3844b,Janet Stromborg
3843c,Janet Stromborg
3843b,Belinda Thibodeaux
3841b,Pat Addison
383c,Paul Sorano
383b,Anatoly Skryabin
3837b,AVSA
3830b,AVSA
382c,Northern CA Council
382b,Iris Keating
3826b,Tea Gallela
3822b,AVSA
3820c,Roxanne Shrewsbury
3820b,Belinda Thibodeaux
3818b,AVSA
3812b,Hortense Pittman
3810b,Carlynn Scott
3803b,Karen Panek
3802c,Linda Rowe
3802b,Christel Collier
3801c,Anatoly Skryabin
3801b,Sergey Sarychev
379b,Iris Keating
3796c,Hector Wong
3796b,Joan Baker
3794b,June Fallaw
378b,Baker
3787b,Tammy Turner
3781c,Barb Werness
3781b,Tea Gallela
3774b,Linda Rowe
3769c,Kay Mitchell
3769b,Janet Stromborg
3758c,David Dick
3758b,Christel Collier
3752c,Tea Gallela
3752b,Christel Collier
3748b,Aleksandrowicz
3744c,Marjorie Bullard
3744b,Bob Lombard
3731b,David Dick
3730b,Barbara Elkin
372b,Innis Violets
3721b,Henry Volkmann
3720b,Janet Riemer
3719c,Hiroko Endo
3719b,Anatoly Skryabin
3712b,Lyndon Lyon
3708c,Tatiana Omelchenko
3708b,Linda Rowe
3703b,Marjorie Bullard
3702c,Robin J. Rayburn
3702b,Violet Gallery
369c,Barb Werness
369b,Karen Low
3697c,Deb Nitz
3697b,Jeannie Myers
3695b,Doug Hamilton
3687c,Joan Baker
3687b,Joan Baker
3686c,Jim Boyer
3686b,Hiroko Endo
3685c,Jess Harman
3685b,Aleksey Kolodezhny
3684c,Cynthia Hui
3684b,Janet Stromborg
3683c,Belinda Thibodeaux
3683b,Hiroko Endo
3679c,Sady Garcia
3679b,Aleksey Kolodezhny
3678b,Paul Sorano
3677b,Sandy Weynand
3672b,Ann-Marie Keene
3650c,Neil Lipson
3650b,Tatiana Omelchenko
3647c,David Dick
3647b,Gail Price
3643b,AVS Denver Chapter I
3635c,EvaBritta Thorssell
3635b,David Dick
3625b,Hortense Pittman
3622c,Tea Gallela
3622b,Janet Stromborg
3621c,Anatoly Skryabin
3621b,Jean Andrews
3619c,Joan Baker
3619b,Fay Wagman
3612b,Jessie Moore
3609c,Northern CA Council
3609b,Northern CA Council
3608b,Hiroko Endo
3602b,Tea Gallela
3600b,C Dalla Vecchia
35c,Ann-Marie Keene
35b,Marjorie Bullard
359b,Fay Wagman
3594b,Fischer Greenhouses
3592c,Northern CA Council
3592b,Kay Darrow
358b,Iris Keating
3583c,Nataliya Kononenko
3583b,Cynthia Hui
3580c,Judith Kinsel
3580b,Marjorie Bullard
3579c,Sady Garcia
3579b,Joan Thompson
3578c,Marjorie Bullard
3578b,Marion Dougherty
3575b,Doug Hamilton
3573b,AVSA
3568b,Fredette
3566c,Barbara Elkin
3566b,Sandy Weynand
3555b,Ruth Coulson
3552c,Heidi Helbling
3552b,Linda Rowe
3551b,Iris Keating
3548c,Marie Flotterud
3548b,Janet Stromborg
3547b,Eric Ensley
3542c,Belinda Thibodeaux
3542b,Aloysius Seow
353b,AVSA
3536b,Anatoly Skryabin
3533c,Jim Boyer
3533b,Sandy Weynand
3530b,Frank Burton
3527b,Burton
3525b,AVSA
3520b,Iris Keating
3514b,Phyllis King
350c,Kay Darrow
350b,Janice Norton
3507c,Dudareva Ksenia
3507b,Marie Flotterud
3504b,Joan Baker
34b,Cathy Brogan
3490b,Claire Camire
348c,Candy Templeton
348b,Mrs. John Stout
3489c,Nancy Robitaille
3489b,Claire Camire
3486b,Park Nurseries
3475c,Tea Gallela
3475b,Marjorie Bullard
3470c,Belinda Thibodeaux
3470b,Marjorie Bullard
3464c,Siu Mei Kong
3464b,Cynthia Hui
3461b,Lynn Canning
3460c,Tammy Young
3460b,Violet Gallery
3458b,Northern CA Council
3457b,Hortense Pittman
3455b,AVSA
3451b,Sandy Weynand
3439b,Iris Keating
3429b,Linda Rowe
3406c,Aleksey Kolodezhny
3406b,Anatoly Skryabin
33c,Anatoly Skryabin
33b,Sady Garcia
339b,Marie Flotterud
3393c,Tea Gallela
3393b,Joan Baker
3392c,Jeannie Myers
3392b,Joan Baker
3389b,Hortense Pittman
3386b,Champion
3380b,Champion
3374c,Janet Stromborg
3374b,AVSA
3372b,AVSA
336c,Aleksey Kolodezhny
336b,Anatoly Skryabin
3357b,Maryse Roux
3355c,Kay Darrow
3355b,AVSA
3354b,Iris Keating
3353b,AVSA
3349b,Northern CA Council
3343b,AVSA
3339c,Joan Baker
3339b,Kay Mitchell
3330b,Iris Keating
3329b,Linda Rowe
3328c,Jess Harman
3328b,Karen Low
331b,Iris Keating
3317b,Schroeder
3316b,Schroeder
3312c,Janet Stromborg
3312b,Janet Stromborg
3311c,Linda Rowe
3311b,Cindy Heitkamp
330c,Linda Rowe
330b,Marie Flotterud
3305c,June Fallaw
3305b,Cape Cod Violetry
3302b,Beth Mullinax
3301c,David Dick
3301b,Linda Rowe
32b,Northern CA Council
3299b,AVSA
3292b,AVSA
328b,Northern CA Council
3288b,Northern CA Council
3286b,Sandra Leary
3285b,Hattie Baggett
3283b,Candy Phillips
3282c,June Fallaw
3282b,Iris Keating
3281b,Jim Boyer
3277b,Baker
3275b,Frank Tinari
3273c,EvaBritta Thorssell
3273b,Montreal Saintpaulia
3266b,Fred C Bearman
3263b,Sandy Weynand
325b,Northern CA Council
3256b,Sandy Weynand
3254b,Sandy Weynand
3246b,Sandy Weynand
3245b,Sandy Weynand
3241b,Fred C. Bearman
323b,Barbara Elkin
3231b,Fred C Bearman
3226b,Frank Tinari
3211b,Sandy Weynand
3209b,Fred C. Bearman
3207b,Fred C Bearman
31c,Karen Low
31b,AVSA
3198b,Fred C. Bearman
3197c,Fred C. Bearman
3197b,Sandy Weynand
3190b,Iris Keating
3181b,Marjorie Bullard
3172c,Marjorie Bullard
3172b,Mrs. John Stout
3162c,Tea Gallela
3162b,Gary/Rhona Thurman
3160b,Barb Pershing
3159b,AVSA
3153b,Daisha East
314c,EvaBritta Thorssell
314b,Anatoly Skryabin
3149b,Bluebird Greenhouse
3148c,Linda Rowe
3148b,Hiroko Endo
3147b,AVSA
3146c,Joan Baker
3146b,Cynthia Hui
3145b,Tea Gallela
3142c,Janet Stromborg
3142b,Tea Gallela
3133b,AVS Denver Chapter I
3132c,Jeannie Myers
3132b,AVS Denver Chapter I
3130c,Nancy Robitaille
3130b,Nancy Robitaille
312c,Tea Gallela
312b,Anatoly Skryabin
3128b,Northern CA Council
3127c,Northern CA Council
3127b,Gary/Rhona Thurman
3126c,Sue Dompkowski
3126b,Nancy Braun
3125b,Frank Burton
3124b,Hazel Hebert
3121b,Fay Wagman
3119b,Robin Murray
3118b,Drew^s Violets
3113c,David Dick
3113b,Winston J Goretsky
310c,Toma Kalpak
310b,Ann-Marie Keene
3108c,Winston J Goretsky
3108b,Janet Riemer
3107c,Anneli Hvass
3107b,Viv Kay
3101b,Northern CA Council
30c,Karen Low
30b,Madeleine Gagnon
3098c,Belinda Thibodeaux
3098b,Ada Chan
3097c,Hector Wong
3097b,Marjorie Bullard
3096c,Violet Gallery
3096b,Tatiana Omelchenko
3095c,Chris Daroche
3095b,Pat Addison
308c,Hector Wong
308b,AVSA
3088b,Phyllis King
3084b,Joan Baker
3080b,Nancy Robitaille
307b,Barbara Elkin
3076c,Daisha East
3076b,Montreal Saintpaulia
3073b,Nancy Robitaille
3070c,Nancy Robitaille
3070b,Cheryl Stevens
306b,Barbara Elkin
3069c,Janet Riemer
3069b,Marjorie Bullard
3068c,Nancy Robitaille
3068b,Linda Rowe
3067b,Hiroko Endo
3066c,Nancy Robitaille
3066b,Nancy Robitaille
3065c,Montreal Saintpaulia
3065b,Linda Rowe
3064c,Barb Werness
3064b,Cindy Schott
3063c,Marjorie Bullard
3063b,Rachel^s Reflections
3062b,Nancy Robitaille
3061c,Germain Raymond
3061b,Nancy Robitaille
3060c,Debbie Yeager
3060b,Nancy Robitaille
305b,Carl Domiano
304b,Joyce Myers
3039b,Barbara Elkin
3038b,Iris Keating
3037b,Hortense Pittman
3036b,Fay Wagman
3033c,Hector Wong
3033b,Janice Norton
3031c,David Dick
3031b,Christel Collier
3028b,Marjorie Bullard
3025c,Anatoly Skryabin
3025b,Christel Collier
3024c,Neil Lipson
3024b,Marjorie Bullard
3023c,Ann-Marie Keene
3023b,Winston J Goretsky
3022c,Janice Norton
3022b,Tatiana Omelchenko
3020c,Marjorie Bullard
3020b,Marjorie Bullard
301c,Tea Gallela
301b,Fran Traylor
3018c,Janice Norton
3018b,Anatoly Skryabin
3015c,Janice Norton
3015b,Darryl Hoover
3013c,Anatoly Skryabin
3013b,Janice Norton
3012b,Janice Norton
3011c,Marjorie Bullard
3011b,Vickie Crider
3010c,Linda Rowe
3010b,AVSA
300b,Rita Boring
3007b,AVSA
3004b,Lynn Canning
3003c,David Dick
3003b,Janice Norton
3002c,Christel Collier
3002b,Pat Addison
3001c,Marjorie Bullard
3001b,Joan Thompson
3000b,Violet Gallery
29c,Tea Gallela
29b,Janice Norton
2999c,Anatoly Skryabin
2999b,Marjorie Bullard
2997c,Linda Rowe
2997b,Ann-Marie Keene
2995c,Anatoly Skryabin
2995b,Marjorie Bullard
2994c,Neil Lipson
2994b,Joan Thompson
2992c,Joan Baker
2992b,Lynda Berggren
2990c,Daisha East
2990b,David Dick
2987b,Elenetta Marshall
2986c,Hector Wong
2986b,Fred C Hill
2984b,Irene Fredette
2982b,Marie Jacobucci
2981b,AVSA
2976b,Hortense Pittman
2972c,Marjorie Bullard
2972b,Karen Panek
2962b,Marjorie Bullard
2960b,Jeannine Kouns
2958b,AVSA
2956b,Marie Dattalo
2951b,Sandy Weynand
2950c,Tatiana Omelchenko
2950b,Heather Fox Slusher
294c,Northern CA Council
294b,Iris Keating
2948c,Sady Garcia
2948b,Pat Addison
2930b,Barbara Elkin
2923c,Jim Boyer
2923b,AVSA
2918b,Barbara Elkin
2915b,Violet Gallery
2914c,Tea Gallela
2914b,Hiroko Endo
2912b,Lyndon Lyon
2910b,Fay Wagman
290c,Wayne Discher
290b,Linda Rowe
2905c,Tatiana Omelchenko
2905b,EvaBritta Thorssell
2902b,Tammy Turner
2900c,Marjorie Bullard
2900b,Cindy Heitkamp
28b,Marjorie Bullard
2897b,Joyce Myers
2893c,Christel Collier
2893b,Anatoly Skryabin
2889b,Iris Keating
2887b,Kay Mitchell
2885c,Tatiana Omelchenko
2885b,Tatiana Omelchenko
2879c,Shantel Garcia
2879b,Cheryl Stevens
2878b,Hattie Baggett
2875c,June Fallaw
2875b,AVSA
2871c,Tea Gallela
2871b,Martha Coleman
2868b,AVSA
2865b,Iris Keating
2863b,Hortense Pittman
2857c,Tea Gallela
2857b,Kbugsviolets
2856b,Anatoly Skryabin
2855b,Cheryl Stevens
2853b,Joan Messer
2852b,Christel Collier
2847b,Tatiana Omelchenko
2846b,David Dick
2845b,Frank Alexandrowitz
283b,Iris Keating
2827b,Hortense Pittman
2823b,Marjorie Bullard
2816b,AVSA
2814c,Tea Gallela
2814b,Fay Wagman
2813c,Linda Rowe
2813b,Kerstin Nordfors
2811c,Linda Rowe
2811b,Simona Vesel�
280c,Belinda Thibodeaux
280b,Christel Collier
2806b,Ray Sotkiewicz
2801c,Tea Gallela
2801b,Janet Stromborg
2800b,Sergey Sarychev
27c,Natalia Vygodova
27b,Sady Garcia
2794b,Jim Boyer
278b,Janet Stromborg
2787c,Anatoly Skryabin
2787b,Janet Stromborg
2782b,Ruth Coulson
277b,Janet Stromborg
2779b,AVSA
276b,Janet Stromborg
2767b,Fay Wagman
2766c,Hector Wong
2766b,Wayne Discher
2763b,AVSA
2762b,Northern CA Council
275c,Anatoly Skryabin
275b,Janet Stromborg
2758b,Northern CA Council
2755b,Iris Keating
2750b,Janet Stromborg
274c,Janet Stromborg
274b,Janet Stromborg
2744b,Thomas Clark
2741c,Roni Williams
2741b,Wayne Discher
2740c,Heather Fox Slusher
2740b,Northern CA Council
273c,Janet Stromborg
273b,Janet Stromborg
2733b,Irene Fredette
2730b,Sandra Leary
272c,Janet Stromborg
272b,Janet Stromborg
2726b,Sandy Weynand
2722c,Gary/Rhona Thurman
2722b,Tea Gallela
271c,Janet Stromborg
271b,Janet Stromborg
2712b,Marie Flotterud
2710c,Heather Fox Slusher
2710b,Marie Flotterud
270c,Tea Gallela
270b,Janet Stromborg
26c,Barb Werness
26b,Christel Collier
269c,Julie Gordon
269b,Janet Stromborg
2699b,Hawley
2698b,Hortense Pittman
2684c,Julie Gordon
2684b,Joan Baker
2679c,Joan Baker
2679b,Joan Baker
2678b,Iris Keating
2671c,Wayne Discher
2671b,Joan Baker
2668b,Iris Keating
2661b,Iris Keating
2658b,AVSA
2657b,AVSA
2647c,June Fallaw
2647b,Marjorie Bullard
2638b,Janet Stromborg
2636c,Marjorie Bullard
2636b,Ann-Marie Keene
2635b,Betty Terry
2633c,Jim Boyer
2633b,AVSA
2631b,Burton
2628c,Deb Nitz
2628b,EA Johnson
2627b,June Fallaw
2624b,Jim Boyer
2621b,Phyllis King
2615b,June Fallaw
2612b,Frank Burton
2608b,AVSA
2605b,Linda Rowe
2603b,Madeleine Gagnon
2602c,Anneli Hvass
2602b,Judi Gatti
2601c,EA Johnson
2601b,Christel Collier
25c,Stanley Ko
25b,Anatoly Skryabin
2599b,Mrs. John Stout
2597c,Janet Stromborg
2597b,Marie Flotterud
