ID,Current Name (Latin),Proposed Name (Cyrillic),Will Move to Alias,English Translation,Has English?
23697,"RS-Utonchennyi Vkus","РС-Утонченный Вкус","RS-Utonchennyi Vkus","RS-Refined Taste",Yes
24143,"RS-Vladyka","РС-Владыка","RS-Vladyka","",No
20259,"RS-Voploshchennyi Angel","РС-Воплощенный Ангел","RS-Voploshchennyi Angel","RS-Incarnated Angel",Yes
24144,"RS-Vzdornaia Krasotka","РС-Вздорная Красотка","RS-Vzdornaia Krasotka","",No
23698,"RS-Zaria Zarianitsa","РС-Заря Заряница","RS-Zaria Zarianitsa","RS-Dawn Charger",Yes
22051,"RS-Zelenaia Laguna","РС-Зеленая Лагуна","RS-Zelenaia Laguna","RS-Green Laguna",Yes
23699,"RS-Zhabo","РС-Жабо","RS-Zhabo","RS-Frill",Yes
24145,"RS-Zhar-Ptitsa","РС-Жар-Птица","RS-Zhar-Ptitsa","",No
22052,"RS-Zhivaia Energiia","РС-Живая Енергийа","RS-Zhivaia Energiia","RS-Live Energy",Yes
24146,"RS-Zimnii Tsvetok","РС-Зимний Цветок","RS-Zimnii Tsvetok","",No
24147,"RS-Zolotaia Roskosh'","РС-Золотая Роскошь","RS-Zolotaia Roskosh'","",No
23700,"RS-Zolotoe Runo","РС-Золотое Руно","RS-Zolotoe Runo","RS-Golden Fleece",Yes
24148,"RS-Zolotoi Drakon","РС-Золотой Дракон","RS-Zolotoi Drakon","",No
23701,"RS-Zolotoi Drakon","РС-Золотой Дракон","RS-Zolotoi Drakon","RS-Golden Dragon",Yes
24149,"RS-Zorro","РС-Зорро","RS-Zorro","",No
